,ds,yhat
435,2022-05-27,1008.8471410032879
436,2022-05-30,998.5433275162138
437,2022-05-31,995.3467361532098
438,2022-06-01,993.2786568164194
439,2022-06-02,988.9415501785134
440,2022-06-03,987.1579714941228
441,2022-06-06,977.7984150950447
442,2022-06-07,974.9377524463725
443,2022-06-08,973.2104640208921
444,2022-06-09,969.2169680420669
445,2022-06-10,967.7787081482385
446,2022-06-13,959.4667201377691
447,2022-06-14,956.9629101142898
448,2022-06-15,955.5993384310689
449,2022-06-16,951.9785603171658
450,2022-06-17,950.9241155771258
451,2022-06-20,943.8469918893962
452,2022-06-21,941.7858568808871
453,2022-06-22,940.8805616710647
454,2022-06-23,937.732649779967
455,2022-06-24,937.1639287432375
456,2022-06-27,931.5940548800004
457,2022-06-28,930.0404354743904
458,2022-06-29,929.6385966602561
459,2022-06-30,926.9859758460985
460,2022-07-01,926.9004361644829
461,2022-07-04,922.6743100972155
462,2022-07-05,921.5255872873116
463,2022-07-06,921.5054028019945
464,2022-07-07,919.2116581475562
465,2022-07-08,919.463760063905
466,2022-07-11,916.1544770363631
467,2022-07-12,915.2945715288608
468,2022-07-13,916.8629262343496
469,2022-07-14,916.1654053588383
470,2022-07-15,918.0281560781452
471,2022-07-18,919.7026367387215
472,2022-07-19,920.5737716659418
473,2022-07-20,922.6168881774034
474,2022-07-21,922.4390243575333
475,2022-07-22,924.8674417295473
476,2022-07-25,928.5008088927951
477,2022-07-26,930.0985536378543
478,2022-07-27,932.8938300264545
479,2022-07-28,933.4844089402666
480,2022-07-29,936.6868325588823
481,2022-08-01,942.5516624987055
482,2022-08-02,944.8182196741968
483,2022-08-03,948.2218186293428
484,2022-08-04,949.346856083964
485,2022-08-05,952.9972953398752
486,2022-08-08,959.580967778612
487,2022-08-10,965.1336770552014
488,2022-08-11,966.0095051963851
489,2022-08-12,969.2841771306084
490,2022-08-16,975.4727295806578
491,2022-08-17,977.8421866819612
492,2022-08-18,977.7314634407429
493,2022-08-19,979.9598715544531
494,2022-08-22,981.3575226629881
495,2022-08-23,981.6698754388508
496,2022-08-24,982.9200798808971
497,2022-08-25,981.7165562420494
498,2022-08-26,982.889096844599
499,2022-08-29,985.6397462477526
500,2022-08-30,986.5137929588102
501,2022-09-01,987.8463394456666
502,2022-09-02,989.733480105686
503,2022-09-05,990.5891401276576
504,2022-09-06,990.8576260693784
505,2022-09-07,992.112162306679
506,2022-09-08,990.9450983976561
507,2022-09-09,992.1683910617392
508,2022-09-12,990.7417309783093
509,2022-09-13,990.1275187801791
510,2022-09-14,990.4316531239296
511,2022-09-15,988.2464975951408
512,2022-09-16,988.3869847358707
513,2022-09-19,983.3984948904092
514,2022-09-20,981.5318666800515
515,2022-09-21,980.5770971196894
516,2022-09-22,977.1453376110143
517,2022-09-23,976.0717808625701
518,2022-09-26,967.8498074425278
519,2022-09-27,965.1120828409274
520,2022-09-28,963.4224094191355
521,2022-09-29,959.408914466394
522,2022-09-30,957.9211706064807
523,2022-10-03,949.557086897112
524,2022-10-04,947.1518479294598
525,2022-10-06,942.6642259222438
526,2022-10-07,942.0386850934892
527,2022-10-10,937.0741377396855
528,2022-10-11,935.9974961043162
529,2022-10-12,936.2092176936202
530,2022-10-13,934.9070181535079
531,2022-10-14,936.2925700618372
532,2022-10-17,937.058753747242
533,2022-10-18,937.7054259249195
534,2022-10-19,939.5102839883748
535,2022-10-20,939.0476272639557
536,2022-10-21,941.1127138156527
537,2022-10-24,942.8964823196781
538,2022-10-25,943.5453442731376
539,2022-10-27,944.4413295886382
540,2022-10-28,946.0912582877804
541,2022-10-31,946.1310222727561
542,2022-11-01,946.1207313624275
543,2022-11-02,947.1215541767474
544,2022-11-03,945.7505534509012
545,2022-11-04,946.8484454241894
546,2022-11-07,945.8444001558607
547,2022-11-09,946.8243430838608
548,2022-11-10,945.6838267580233
549,2022-11-11,947.1715475804247
550,2022-11-14,948.2210516592631
551,2022-11-15,949.0599632350145
552,2022-11-16,951.1523738042582
553,2022-11-17,951.0947443841603
554,2022-11-18,953.6996519536717
555,2022-11-21,958.0013679501434
556,2022-11-22,959.7890798507358
557,2022-11-23,962.7145565774273
558,2022-11-24,963.3490468232559
559,2022-11-25,966.4834855436586
560,2022-11-28,971.2492613781815
561,2022-11-29,972.7975282920058
562,2022-11-30,975.2864269657165
563,2022-12-01,975.297104157854
564,2022-12-02,977.6359479276764
565,2022-12-05,979.2136989565779
566,2022-12-06,979.5250297573926
567,2022-12-07,980.7484093356238
568,2022-12-08,979.5014838505055
569,2022-12-09,980.6275349741336
570,2022-12-12,979.1884461773564
571,2022-12-13,978.8062452755573
572,2022-12-14,979.534889748908
573,2022-12-15,978.0100935428015
574,2022-12-16,979.0871980962677
575,2022-12-19,978.8964311199537
576,2022-12-20,979.368301819857
577,2022-12-21,981.1395276877694
578,2022-12-22,980.8180408856822
579,2022-12-23,983.2258455672377
580,2022-12-26,987.3920971585185
581,2022-12-27,989.289758655751
582,2022-12-28,992.3958229845789
583,2022-12-29,993.2719959157807
584,2022-12-30,996.6960318054049
585,2023-01-02,1002.4342788941257
586,2023-01-03,1004.2599287462896
587,2023-01-04,1006.9600662305368
588,2023-01-05,1007.0859197494375
589,2023-01-06,1009.4127996036051
590,2023-01-09,1009.8774285161228
591,2023-01-10,1009.3575339450972
592,2023-01-11,1010.7076720575659
593,2023-01-12,1009.2875691656304
594,2023-01-13,1009.9205240189019
595,2023-01-16,1004.9496554938981
596,2023-01-17,1002.6872794478695
597,2023-01-18,1001.1889134997537
598,2023-01-19,997.1018746312635
599,2023-01-20,995.2990669574519
600,2023-01-23,984.8244802034525
601,2023-01-24,981.4343315783037
602,2023-01-25,979.1952028128104
603,2023-01-27,973.0067825446995
604,2023-01-30,964.9005704133374
605,2023-01-31,962.957389356894
606,2023-02-01,962.4346984289757
607,2023-02-02,959.9435673701246
608,2023-02-03,960.3080208892569
609,2023-02-06,959.1147655529029
610,2023-02-07,959.4876870577093
611,2023-02-08,961.2041420487986
612,2023-02-09,960.8302287720091
613,2023-02-10,963.1497244643856
614,2023-02-13,966.5356640844029
615,2023-02-14,967.9365547526298
616,2023-02-15,970.4155477663601
617,2023-02-16,970.5404971344803
618,2023-02-17,973.1043911486757
619,2023-02-20,975.8906833567497
620,2023-02-21,976.7410138133713
621,2023-02-22,978.5521889773948
622,2023-02-23,977.9314315657905
623,2023-02-24,979.7124650455161
624,2023-02-27,980.3294050186524
625,2023-02-28,980.6403374920129
626,2023-03-01,982.0570612008178
627,2023-03-02,981.2112830845789
628,2023-03-03,982.9552047951199
629,2023-03-06,984.6724857750494
630,2023-03-08,988.1044256053265
631,2023-03-09,988.354052707722
632,2023-03-10,991.3195321747183
633,2023-03-13,997.1021819387411
634,2023-03-14,999.5296182143385
635,2023-03-15,1003.1665431879782
636,2023-03-16,1004.5782585173191
637,2023-03-17,1008.5461504647405
638,2023-03-20,1016.0006990079523
639,2023-03-21,1018.4371205201954
640,2023-03-22,1021.7716274458893
641,2023-03-23,1022.5572260715326
642,2023-03-24,1025.5703555698533
643,2023-03-27,1028.252725915325
644,2023-03-28,1028.5209019585152
645,2023-03-29,1029.4449670229005
646,2023-03-31,1027.849767858687
647,2023-04-03,1021.6958894490288
648,2023-04-05,1017.0895372598488
649,2023-04-06,1012.5412482435725
650,2023-04-10,998.0072644403224
651,2023-04-11,993.923622882478
652,2023-04-12,990.9325075949755
653,2023-04-13,985.6879931896439
654,2023-04-17,972.0317337732902
655,2023-04-18,969.0302939927444
656,2023-04-19,967.4233533404704
657,2023-04-20,963.8340711846563
658,2023-04-21,963.1001329096323
659,2023-04-24,958.7651741208574
660,2023-04-25,958.1975554564177
661,2023-04-26,959.0552415893403
662,2023-04-27,957.9209157350688
663,2023-04-28,959.5940164148377
664,2023-05-02,963.1918933141365
665,2023-05-03,965.7670356087532
666,2023-05-04,966.1532670066562
667,2023-05-05,969.1417513388453
668,2023-05-08,974.1102235838198
669,2023-05-09,975.9492882254824
670,2023-05-10,978.8507788862216
671,2023-05-11,979.3999879152271
672,2023-05-12,982.4062495675317
673,2023-05-15,986.7603772642708
674,2023-05-16,988.2429793413157
675,2023-05-17,990.7471213447768
676,2023-05-19,993.4621220773722
677,2023-05-22,996.6828353666137
678,2023-05-23,997.8708307319414
679,2023-05-24,1000.1355597795607
680,2023-05-25,1000.0864909224613
681,2023-05-26,1002.5533631382702
682,2023-05-30,1007.0922183596583
683,2023-05-31,1009.5213962217543
684,2023-06-01,1009.6787550160565
685,2023-06-02,1012.3877611435167
686,2023-06-05,1011.3176094816537
687,2023-06-06,1011.2197815552302
688,2023-06-07,1012.2553653789555
689,2023-06-08,1011.0246510793554
690,2023-06-09,1012.3488258698289
691,2023-06-12,1012.3182247208263
692,2023-06-13,1012.5714438394488
693,2023-06-14,1013.9624857621844
694,2023-06-15,1013.093574182667
695,2023-06-16,1014.7880154021256
696,2023-06-19,1015.939205865194
697,2023-06-20,1016.6152716348521
698,2023-06-21,1018.4450152023576
699,2023-06-22,1018.0305461184781
700,2023-06-23,1020.1943407511561
701,2023-06-26,1022.8241052798498
702,2023-06-27,1024.0070405066085
703,2023-06-28,1026.3446717590477
704,2023-06-30,1029.0965673703133
705,2023-07-07,1041.006337851119
706,2023-07-10,1046.0215740125664
707,2023-07-14,1055.0591959637882
708,2023-07-17,1061.0628875852121
709,2023-07-19,1066.8202203480955
710,2023-07-20,1068.0510535499832
711,2023-07-21,1071.8804089729776
712,2023-07-24,1079.6820095747628
713,2023-07-26,1086.842432475995
714,2023-07-28,1093.4145250135405
715,2023-08-03,1114.683972276582
716,2023-08-04,1119.8327925137012
717,2023-08-07,1130.5394708363633
718,2023-08-08,1134.231720578139
719,2023-08-09,1138.9580085751652
720,2023-08-10,1141.3001934304086
721,2023-08-11,1146.0617187592125
722,2023-08-14,1155.3678057453121
723,2023-08-16,1162.2859116846191
724,2023-08-17,1163.7363320877191
725,2023-08-18,1167.5285221860124
726,2023-08-21,1173.6064931192957
727,2023-08-22,1175.4675210506996
728,2023-08-23,1178.2576365711816
729,2023-08-24,1178.5840399214505
730,2023-08-25,1181.2757606139087
731,2023-08-28,1184.2929951265935
732,2023-08-29,1185.2363969423684
733,2023-08-30,1187.1654151737346
734,2023-08-31,1186.6866385500982
735,2023-09-01,1188.6260353513233
736,2023-09-04,1189.6395602511136
737,2023-09-05,1189.9689524691141
738,2023-09-06,1191.2922532853836
739,2023-09-07,1190.2037042900167
740,2023-09-08,1191.5168105166565
741,2023-09-11,1190.4362489896312
742,2023-09-12,1189.9633384862918
743,2023-09-13,1190.420535750027
744,2023-09-14,1188.3986224439172
745,2023-09-15,1188.7103980116376
746,2023-09-18,1184.2553910104807
747,2023-09-20,1181.7707211441855
748,2023-09-21,1178.489832812507
749,2023-09-22,1177.5500788839925
750,2023-09-25,1169.5893924431236
751,2023-09-26,1166.881204685558
752,2023-09-27,1165.1880862510754
753,2023-09-28,1161.1365646437996
754,2023-09-29,1159.5753248089372
755,2023-10-03,1148.1664943442922
756,2023-10-04,1146.7584553395343
757,2023-10-05,1143.1797890383828
758,2023-10-06,1142.271815946472
759,2023-10-09,1136.3855539400427
760,2023-10-10,1134.9944913999718
761,2023-10-11,1134.8972325816326
762,2023-10-12,1132.6902872113583
763,2023-10-13,1133.1867429147917
764,2023-10-16,1131.421790616314
765,2023-10-17,1131.2810102287503
766,2023-10-18,1132.3300631461111
767,2023-10-19,1131.1440752502522
768,2023-10-20,1132.5182299980863
769,2023-10-23,1132.409527171335
770,2023-10-25,1133.570647362183
771,2023-10-26,1132.269318396674
772,2023-10-27,1133.3836640882341
773,2023-10-30,1131.822141727832
774,2023-10-31,1131.2622712170191
775,2023-11-01,1131.6973754267683
776,2023-11-02,1129.740244568822
777,2023-11-03,1130.2279539426163
778,2023-11-06,1127.2243295752708
779,2023-11-07,1128.2966731133527
780,2023-11-08,1130.5041060140575
781,2023-11-09,1130.470785557395
782,2023-11-10,1133.040405987896
783,2023-11-13,1137.222044503581
784,2023-11-15,1142.1959795755095
785,2023-11-16,1143.162868397987
786,2023-11-17,1146.8022627142802
787,2023-11-20,1154.322472227463
788,2023-11-21,1157.2374357711699
789,2023-11-22,1161.3237191328642
790,2023-11-23,1163.1550939947676
791,2023-11-24,1167.5240257442554
792,2023-11-28,1179.140911029192
793,2023-11-29,1183.0334614319656
794,2023-11-30,1184.4723890558878
795,2023-12-01,1188.2586332041874
796,2023-12-04,1194.2303378579347
797,2023-12-05,1196.000857810015
798,2023-12-06,1198.669176171606
799,2023-12-07,1198.8463469431686
800,2023-12-08,1201.369547996585
801,2023-12-11,1203.9102938538515
802,2023-12-12,1204.7723078817241
803,2023-12-13,1206.7008641122395
804,2023-12-14,1206.3316849200723
805,2023-12-15,1208.5214244116667
806,2023-12-18,1211.4429787615618
807,2023-12-19,1212.8938022018963
808,2023-12-20,1215.625673652775
809,2023-12-21,1216.2543211319799
810,2023-12-22,1219.6101084602424
811,2023-12-26,1229.6192122830064
812,2023-12-27,1233.7922753348864
813,2023-12-28,1235.7828833234728
814,2023-12-29,1240.374871572151
815,2024-01-01,1249.9807176412562
816,2024-01-02,1253.2240819185563
817,2024-01-03,1257.4060694354723
818,2024-01-04,1259.0755180400622
819,2024-01-05,1263.0038330120342
820,2024-01-08,1268.5598548111127
821,2024-01-09,1269.806774451338
822,2024-01-10,1271.7088820114025
823,2024-01-11,1270.8499481530985
824,2024-01-12,1272.042700001905
825,2024-01-15,1268.6375685585579
826,2024-01-16,1266.8259376208562
827,2024-01-17,1265.7278590597075
828,2024-01-19,1260.458848974763
829,2024-01-23,1246.9963859499044
830,2024-01-24,1244.6759784209419
831,2024-01-25,1240.0927931595554
832,2024-01-29,1229.0555744713572
833,2024-01-30,1226.7124264187246
834,2024-01-31,1225.7653409338864
835,2024-02-01,1222.835158100051
836,2024-02-02,1222.755724765533
837,2024-02-05,1220.295648504734
838,2024-02-06,1220.296123913693
839,2024-02-07,1221.6769012519403
840,2024-02-08,1221.0094812390014
841,2024-02-09,1223.0817227783834
842,2024-02-12,1226.0229830781443
843,2024-02-13,1227.3739991109612
844,2024-02-14,1229.8484807855825
845,2024-02-15,1230.0100894737047
846,2024-02-16,1232.6465346176144
847,2024-02-19,1235.8004968394
848,2024-02-20,1236.7988701438717
849,2024-02-21,1238.7579823954686
850,2024-02-22,1238.2774768954937
851,2024-02-23,1240.18390108008
852,2024-02-26,1241.0264494001042
853,2024-02-27,1241.3466248388095
854,2024-02-28,1242.734564521156
855,2024-02-29,1241.8208557694513
856,2024-03-01,1243.457923657954
857,2024-03-04,1244.6432364521409
858,2024-03-05,1245.4834798210566
859,2024-03-06,1247.5878413544208
860,2024-03-07,1247.5724616763816
861,2024-03-11,1255.3002563285042
862,2024-03-12,1257.5235321756568
863,2024-03-13,1260.9923650057412
864,2024-03-14,1262.2789458546924
865,2024-03-15,1266.1706827952958
866,2024-03-18,1273.7344766478445
867,2024-03-19,1276.3281749262455
868,2024-03-20,1279.8810974144092
869,2024-03-21,1280.9445432959908
870,2024-03-22,1284.2918442047246
871,2024-03-26,1289.0355358483553
872,2024-03-27,1290.4858925638875
873,2024-03-28,1289.1961807240787
874,2024-04-01,1285.3850524474026
875,2024-04-02,1283.176969860461
876,2024-04-03,1281.6705823755324
877,2024-04-04,1277.498629285938
878,2024-04-05,1275.5206599970625
879,2024-04-08,1263.871216839823
880,2024-04-09,1259.8477668044243
881,2024-04-10,1256.8481670101642
882,2024-04-12,1248.7618259210822
883,2024-04-15,1236.9615467279518
884,2024-04-16,1233.6069512479878
885,2024-04-18,1227.6007895231219
886,2024-04-19,1226.425457614962
887,2024-04-22,1220.7148211779988
888,2024-04-23,1219.6965591410888
889,2024-04-24,1220.119011063483
890,2024-04-25,1218.5707982756016
891,2024-04-26,1219.856526320023
892,2024-04-29,1221.1565410959452
893,2024-04-30,1222.242768614768
894,2024-05-02,1224.826174871009
895,2024-05-03,1227.6826542267481
896,2024-05-06,1232.4598271093644
897,2024-05-07,1234.2935127393926
898,2024-05-08,1237.2128652372849
899,2024-05-09,1237.7992303547903
900,2024-05-10,1240.8579064726864
901,2024-05-13,1245.4213628249283
902,2024-05-14,1246.9789039126902
903,2024-05-15,1249.5552182617303
904,2024-05-16,1249.7525675974498
905,2024-05-17,1252.3961713606716
906,2024-05-21,1256.9377966505085
907,2024-05-22,1259.206696652707
908,2024-05-23,1259.150314773905
909,2024-05-24,1261.5990281042573
910,2024-05-27,1264.7234060842222
911,2024-05-28,1265.9765967104868
912,2024-05-29,1268.3491603803855
913,2024-05-30,1268.4457826936782
914,2024-05-31,1271.091009892004
915,2024-06-03,1275.0035721486927
916,2024-06-04,1276.5654905221054
917,2024-06-05,1279.260800158688
918,2024-06-06,1279.6898580992374
919,2024-06-07,1282.673759691927
920,2024-06-10,1287.6192984030135
921,2024-06-11,1289.5288972759513
922,2024-06-12,1292.5744143947309
923,2024-06-13,1293.3576576362912
924,2024-06-14,1296.701581261811
925,2024-06-18,1305.0966510740286
926,2024-06-19,1308.561113270944
927,2024-06-20,1309.7790778796248
928,2024-06-21,1313.5735581943393
929,2024-06-24,1321.091734863102
930,2024-06-25,1323.9055041038062
931,2024-06-26,1327.8759736685647
932,2024-06-27,1329.6019442193488
933,2024-06-28,1333.9024265678477
934,2024-07-01,1342.885945584424
935,2024-07-02,1346.1581492162375
936,2024-07-03,1350.567001262503
937,2024-07-04,1352.7093367008683
938,2024-07-05,1357.4031027925985
939,2024-07-08,1367.4327017775433
940,2024-07-09,1371.0159404841759
941,2024-07-10,1375.723068197768
942,2024-07-11,1378.1559560800408
943,2024-07-12,1383.138326817323
944,2024-07-15,1394.0867650856087
945,2024-07-16,1398.0162151315326
